"zip","area_name","LA_city","lon","lat"
"90661","Pico Rivera",FALSE,-118.0857083,33.9859405
"90662","Pico Rivera",FALSE,-118.0857083,33.9859405
"90670","Santa Fe Springs",FALSE,-118.0712981,33.9414796
"90671","Santa Fe Springs",FALSE,-118.08,33.95
"90701","Cerritos",FALSE,-118.0800782,33.8648303
"90702","Artesia",FALSE,-118.0838799,33.8657838
"90703","Cerritos",FALSE,-118.0595907,33.8724552
"90704","Avalon",FALSE,-118.4396756,33.3614631
"90706","Bellflower",FALSE,-118.1239717,33.8822393
"90707","Bellflower",FALSE,-118.1243793,33.8821364
"90710","Harbor City",TRUE,-118.2965121,33.7957752
"90711","Lakewood",FALSE,-118.1330353,33.8522282
"90712","Lakewood",FALSE,-118.153228,33.8493162
"90713","Lakewood",FALSE,-118.1181199,33.8477257
"90714","Lakewood",FALSE,-118.1330353,33.8522282
"90715","Lakewood",FALSE,-118.0783974,33.8413324
"90716","Hawaiian Gardens",FALSE,-118.0742249,33.830298
"90717","Lomita/Rancho Palos Verdes",FALSE,-118.319894,33.7950887
"90723","Paramount",FALSE,-118.1649291,33.8977737
"90731","San Pedro/Terminal Island",TRUE,-118.2643567,33.7241323
"90732","Rancho Palos Verdes",FALSE,-118.3140488,33.7349075
"90733","San Pedro",TRUE,-118.2805078,33.7367479
"90734","San Pedro",FALSE,-118.2922222,33.7358333
"90744","Wilmington",TRUE,-118.2643567,33.7857948
"90745","Carson",FALSE,-118.2585096,33.8232001
"90746","Carson",FALSE,-118.2585096,33.8540061
"90747","Carson (Cal State Univ. Dominguez Hills)",FALSE,-118.2558801,33.8641714
"90748","Wilmington",TRUE,-118.2626058,33.7830899
"90749","Carson",FALSE,-118.26,33.83
"90755","Signal Hill",FALSE,-118.1678543,33.8020217
"90801","Long Beach",FALSE,-118.187732,33.7705139
"90802","Long Beach",FALSE,-118.1941785,33.7415317
"90803","Long Beach",FALSE,-118.1298234,33.7523035
"90804","Long Beach",FALSE,-118.1503026,33.7806646
"90805","North Long Beach (Long Beach)",FALSE,-118.1766294,33.8640647
"90806","Long Beach",FALSE,-118.1912538,33.8065036
"90807","Long Beach",FALSE,-118.1766294,33.8332465
"90808","Long Beach",FALSE,-118.1064156,33.8197825
"90809","Long Beach",FALSE,-118.1495712,33.798194
"90810","Carson/Long Beach",FALSE,-118.2234229,33.8113701
"90813","Long Beach",FALSE,-118.1971031,33.7844997
"90814","Long Beach",FALSE,-118.1429889,33.7709051
"90815","Long Beach",FALSE,-118.1181199,33.7963296
"90822","Long Beach",FALSE,-118.1495712,33.8084732
"90831","Long Beach (World Trade Center)",FALSE,-118.2022212,33.7684556
"90832","Long Beach (World Trade Center)",FALSE,-118.1999698,33.7699125
"90833","Long Beach",FALSE,-118.1994298,33.7679552
"90834","Long Beach",FALSE,-118.1991138,33.7674587
"90835","Long Beach",FALSE,-118.1994298,33.767963
"90840","Long Beach (Cal State University Long Beach)",FALSE,-118.1206801,33.7838081
"90846","Long Beach (Boeing)",FALSE,-118.145183,33.8301142
"90853","Belmont Shores (Long Beach)",FALSE,-118.1291576,33.7591962
"91001","Altadena",FALSE,-118.1239717,34.2103962
"91003","Altadena",FALSE,-118.13,34.19
"91006","Arcadia",FALSE,-118.0244639,34.1172361
"91007","Arcadia",FALSE,-118.0478826,34.1216975
"91008","Duarte",FALSE,-117.9659037,34.1624549
"91009","Duarte",FALSE,-117.9792387,34.1397138
"91010","Bradbury",FALSE,-117.9424743,34.1579788
"91011","La Canada-Flintridge",FALSE,-118.1941785,34.2133926
"91012","La Canada-Flintridge",FALSE,-118.22,34.21
"91016","Monrovia",FALSE,-118.0068979,34.1574588
"91017","Monrovia",FALSE,-118,34.15
"91020","Montrose",FALSE,-118.2321952,34.2115828
"91021","Montrose",FALSE,-118.22,34.21
