"zip","area_name","LA_city","lon","lat","native_territories","native_languages"
91043,"Tujunga",TRUE,-118.2899871,34.2499923,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tataviam,Tongva"
91046,"Glendale (Verdugo City)",FALSE,-118.240734,34.211442,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tongva"
91066,"Arcadia",FALSE,-118.03,34.14,"Tongva,Kizh","Tongva"
91077,"Arcadia",FALSE,-118.05,34.13,"Tongva,Kizh","Tongva"
91101,"Pasadena",FALSE,-118.1386005,34.1427587,"Tongva,Kizh","Tongva"
91102,"Pasadena",FALSE,-118.1419472,34.1485194,"Tongva,Kizh","Tongva"
91103,"Pasadena",FALSE,-118.153228,34.1672881,"Tongva,Kizh","Tongva"
91104,"Pasadena",FALSE,-118.1181199,34.1657707,"Tongva,Kizh","Tongva"
91105,"Pasadena",FALSE,-118.1678543,34.1406082,"Tongva,Kizh","Tongva"
91106,"Pasadena",FALSE,-118.1268976,34.1456654,"Tongva,Kizh","Tongva"
